Airline name ,Travel Time,Number of Stoppage(s),Ticket price(Dollar),Departure Airport,Departure Time,1st Stoppage Waiting Time,1st Stoppage,2nd Stoppage Waiting Time,2nd Stoppage,3rd Stoppage Waiting time,3rd Stoppage,Destination Airport,Arrival Time,Arrival Date
Qatar,32:20:00,1,2430.0,DAC,10:50:00,12h 5m,DOH,,,,,JFK,09:10:00,04-08
Qatar,37:40:00,1,2430.0,DAC,05:30:00,17h 25m,DOH,,,,,JFK,09:10:00,04-08
Qatar,39:35:00,1,2430.0,DAC,03:35:00,19h 20m,DOH,,,,,JFK,09:10:00,04-08
American,28:40:00,1,2640.0,DAC,20:15:00,8h 55m,DOH,,,,,JFK,14:55:00,04-08
American,34:30:00,2,2650.0,DAC,20:15:00,8h 55m,DOH,3h 15m,ORD,,,EWR,20:45:00,04-08
American,35:30:00,2,2650.0,DAC,20:15:00,8h 55m,DOH,4h 0m,ORD,,,LGA,21:45:00,04-08
American,35:58:00,2,2650.0,DAC,20:15:00,8h 55m,DOH,4h 44m,ORD,,,EWR,22:13:00,04-09
Singapore,43:26:00,2,2652.0,DAC,23:55:00,14h 40m,SIN,3h 15m,LAX,,,JFK,09:21:00,04-09
Singapore,48:32:00,2,2652.0,DAC,23:55:00,14h 40m,SIN,8h 20m,LAX,,,JFK,14:27:00,04-09
Singapore,53:5:00,2,2691.0,DAC,23:55:00,14h 40m,SIN,12h 44m,LAX,,,JFK,19:00:00,04-08
British,26:20:00,2,2745.0,DAC,20:15:00,2h 10m,DOH,3h 25m,LHR,,,JFK,12:35:00,04-08
British,26:20:00,2,2745.0,DAC,20:15:00,2h 45m,DOH,2h 50m,LHR,,,JFK,12:35:00,04-08
British,27:35:00,2,2745.0,DAC,20:15:00,2h 10m,DOH,4h 35m,LHR,,,EWR,13:50:00,04-08
British,27:35:00,2,2745.0,DAC,20:15:00,2h 45m,DOH,4h 0m,LHR,,,EWR,13:50:00,04-08
British,26:20:00,2,2762.0,DAC,20:15:00,2h 10m,DOH,3h 30m,LGW,,,JFK,12:35:00,04-08
British,26:20:00,2,2762.0,DAC,20:15:00,2h 40m,DOH,3h 5m,LGW,,,JFK,12:35:00,04-08
British,27:35:00,2,2762.0,DAC,20:15:00,2h 10m,DOH,4h 40m,LGW,,,EWR,13:50:00,04-08
British,27:35:00,2,2762.0,DAC,20:15:00,2h 40m,DOH,4h 15m,LGW,,,EWR,13:50:00,
British,25:55:00,2,2769.0,DAC,03:35:00,1h 40m,DOH,3h 30m,LHR,,,EWR,19:30:00,
British,25:55:00,2,2769.0,DAC,03:35:00,2h 35m,DOH,2h 35m,LHR,,,EWR,19:30:00,04-08
British,28:10:00,2,2769.0,DAC,20:15:00,2h 10m,DOH,5h 15m,LHR,,,JFK,14:25:00,04-08
British,28:10:00,2,2769.0,DAC,20:15:00,2h 45m,DOH,4h 40m,LHR,,,JFK,14:25:00,04-08
Singapore,32:5:00,2,2772.0,DAC,23:55:00,2h 55m,SIN,4h 50m,SEA,,,JFK,22:00:00,
Gulf Air Company,24:19:00,2,2783.0,DAC,05:40:00,2h 10m,BAH,1h 55m,LHR,,,JFK,19:59:00,
Gulf Air Company,27:3:00,2,2783.0,DAC,05:40:00,2h 10m,BAH,4h 35m,LHR,,,JFK,22:43:00,04-08
Gulf Air Company,41:50:00,2,2783.0,DAC,05:40:00,2h 10m,BAH,19h 10m,LHR,,,JFK,13:30:00,04-08
Gulf Air Company,41:50:00,2,2783.0,DAC,05:40:00,17h 45m,BAH,3h 35m,LHR,,,JFK,13:30:00,04-08
Gulf Air Company,46:20:00,2,2783.0,DAC,05:40:00,2h 10m,BAH,23h 55m,LHR,,,JFK,18:00:00,04-08
Gulf Air Company,46:20:00,2,2783.0,DAC,05:40:00,17h 45m,BAH,8h 20m,LHR,,,JFK,18:00:00,04-08
Gulf Air Company,48:19:00,2,2783.0,DAC,05:40:00,17h 45m,BAH,10h 20m,LHR,,,JFK,19:59:00,04-08
Gulf Air Company,51:3:00,2,2783.0,DAC,05:40:00,17h 45m,BAH,13h 0m,LHR,,,JFK,22:43:00,04-09
Singapore,39:41:00,2,2813.0,DAC,23:55:00,2h 55m,SIN,12h 50m,SEA,,,EWR,05:36:00,04-08
Etihad,37:5:00,2,2873.0,DAC,12:55:00,13h 10m,CMB,1h 50m,AUH,,,JFK,16:00:00,04-09
Etihad,54:35:00,2,2873.0,DAC,12:55:00,13h 10m,CMB,19h 20m,AUH,,,JFK,09:30:00,04-08
Cathay Pacific,37:50:00,1,2934.0,DAC,02:10:00,17h 55m,HKG,,,,,JFK,06:00:00,04-08
Multiple,23:15:00,1,2946.0,DAC,19:30:00,3h 25m,DXB,,,,,EWR,08:45:00,04-08
Multiple,32:30:00,1,2946.0,DAC,10:15:00,12h 50m,DXB,,,,,EWR,08:45:00,04-08
Multiple,41:5:00,1,2946.0,DAC,01:40:00,21h 25m,DXB,,,,,EWR,08:45:00,04-08
Qatar,26:0:00,2,2948.0,DAC,21:30:00,55m,DOH,4h 5m,LHR,,,JFK,13:30:00,04-08
Qatar,26:0:00,2,2948.0,DAC,21:30:00,1h 30m,DOH,3h 30m,LHR,,,JFK,13:30:00,
Multiple,21:20:00,1,2961.0,DAC,03:35:00,1h 35m,DOH,,,,,JFK,14:55:00,
Multiple,21:55:00,1,2961.0,DAC,10:50:00,2h 10m,DOH,,,,,JFK,22:45:00,
Multiple,27:15:00,1,2961.0,DAC,05:30:00,7h 30m,DOH,,,,,JFK,22:45:00,04-08
Multiple,27:25:00,1,2961.0,DAC,21:30:00,7h 40m,DOH,,,,,JFK,14:55:00,
Multiple,29:10:00,1,2961.0,DAC,03:35:00,9h 25m,DOH,,,,,JFK,22:45:00,04-08
Multiple,30:20:00,1,3036.0,DAC,10:10:00,11h 5m,DEL,,,,,EWR,06:30:00,
Multiple,23:30:00,2,3046.0,DAC,06:35:00,1h 45m,IST,1h 0m,FRA,,,JFK,20:05:00,
Multiple,23:45:00,2,3046.0,DAC,06:35:00,1h 45m,IST,1h 15m,FRA,,,EWR,20:20:00,04-08
Emirates,31:0:00,1,3049.0,DAC,21:55:00,8h 15m,DXB,,,,,JFK,18:55:00,04-08
Emirates,33:25:00,1,3049.0,DAC,21:55:00,9h 20m,DXB,,,,,EWR,21:20:00,04-08
Emirates,43:35:00,1,3049.0,DAC,09:20:00,20h 45m,DXB,,,,,JFK,18:55:00,04-08
Emirates,46:0:00,1,3049.0,DAC,09:20:00,21h 50m,DXB,,,,,EWR,21:20:00,
Multiple,23:30:00,2,3067.0,DAC,06:35:00,1h 45m,IST,1h 0m,FRA,,,JFK,20:05:00,
Multiple,23:45:00,2,3067.0,DAC,06:35:00,1h 45m,IST,1h 15m,FRA,,,EWR,20:20:00,04-08
Emirates,43:35:00,2,3078.0,DAC,09:20:00,2h 45m,DXB,19h 40m,MXP,,,JFK,18:55:00,04-09
Emirates,55:0:00,2,3078.0,DAC,21:55:00,14h 15m,DXB,19h 40m,MXP,,,JFK,18:55:00,04-08
Multiple,25:0:00,2,3092.0,DAC,19:30:00,2h 55m,DXB,1h 30m,LHR,,,EWR,10:30:00,04-08
Multiple,25:0:00,2,3114.0,DAC,19:30:00,2h 55m,DXB,1h 30m,LHR,,,EWR,10:30:00,04-08
Emirates,26:30:00,1,3352.0,DAC,21:55:00,7h 0m,DXB,,,,,JFK,14:25:00,04-08
Emirates,33:30:00,1,3352.0,DAC,09:20:00,13h 50m,DXB,,,,,JFK,08:50:00,04-08
Emirates,39:5:00,1,3352.0,DAC,09:20:00,19h 30m,DXB,,,,,JFK,14:25:00,
Multiple,27:40:00,2,4253.0,DAC,02:20:00,2h 30m,JED,3h 32m,IAD,,,JFK,20:00:00,
Multiple,25:43:00,2,4584.0,DAC,02:10:00,2h 40m,HKG,2h 25m,YYZ,,,EWR,17:53:00,
Multiple,26:40:00,2,4584.0,DAC,02:10:00,2h 40m,HKG,3h 25m,YYZ,,,LGA,18:50:00,
Multiple,31:15:00,2,4842.0,DAC,00:50:00,5h 0m,CAN,5h 40m,TPE,,,JFK,22:05:00,
Multiple,25:43:00,2,5052.0,DAC,02:10:00,2h 40m,HKG,2h 25m,YYZ,,,EWR,17:53:00,
Multiple,26:40:00,2,5057.0,DAC,02:10:00,2h 40m,HKG,3h 25m,YYZ,,,LGA,18:50:00,04-08
Kuwait,37:5:00,1,6406.0,DAC,11:20:00,16h 55m,KWI,,,,,JFK,14:25:00,04-08
Multiple,24:50:00,2,6947.0,DAC,20:55:00,2h 10m,AUH,2h 0m,CDG,,,EWR,11:45:00,04-08
Multiple,24:50:00,2,7429.0,DAC,20:55:00,2h 10m,AUH,2h 0m,"CDG""sc-jRQBWg",,,EWR,11:45:00,
Turkish,32:55:00,1,717.0,,19:30:00,13h 25m,JFK,,,,,IST,15:25:00,04-09
American,39:5:00,2,840.0,,17:00:00,1h 24m,EWR,14h 25m,DOH,,,ORD,19:05:00,04-09
American,31:15:00,2,865.0,,18:55:00,57m,LGA,4h 10m,DOH,,,DFW,13:10:00,04-09
Turkish,39:35:00,1,914.0,,12:50:00,20h 5m,JFK,,,,,IST,15:25:00,04-09
Air India,20:5:00,1,935.0,,12:30:00,2h 10m,JFK,,,,,DEL,19:35:00,04-08
Etihad,22:40:00,1,949.0,JFK,22:40:00,3h 20m,AUH,,,,,BKK,08:20:00,04-09
Etihad,34:20:00,1,949.0,JFK,22:40:00,15h 0m,AUH,,,,,BKK,20:00:00,04-09
Asiana,23:15:00,1,951.0,JFK,12:55:00,1h 55m,ICN,,,,,BKK,23:10:00,04-08
Etihad,25:50:00,1,980.0,JFK,22:40:00,3h 40m,AUH,,,,,BKK,11:30:00,04-09
American,47:5:00,2,1017.0,JFK,09:00:00,8h 51m,ORD,14h 25m,DOH,,,BKK,19:05:00,04-09
Qatar,36:0:00,1,1025.0,JFK,20:05:00,16h 10m,DOH,,,,,BKK,19:05:00,04-09
American,30:25:00,2,1051.0,LGA,18:55:00,57m,DFW,3h 20m,DOH,,,BKK,12:20:00,04-09
Gulf Air Company,27:18:00,2,1083.0,JFK,19:12:00,2h 30m,LHR,4h 5m,BAH,,,BKK,09:30:00,04-09
Multiple,42:0:00,2,1086.0,EWR,10:30:00,42m,IAD,19h 25m,HND,,,BKK,15:30:00,04-09
Multiple,42:11:00,2,1086.0,LGA,10:19:00,40m,IAD,19h 25m,HND,,,BKK,15:30:00,04-09
Multiple,42:13:00,2,1086.0,EWR,10:17:00,1h 18m,ORD,18h 55m,HND,,,BKK,15:30:00,04-09
Multiple,42:30:00,2,1086.0,LGA,10:00:00,1h 32m,ORD,18h 55m,HND,,,BKK,15:30:00,04-09
Multiple,43:30:00,2,1086.0,LGA,09:00:00,2h 32m,ORD,18h 55m,HND,,,BKK,15:30:00,04-09
Multiple,44:30:00,2,1086.0,LGA,08:00:00,3h 32m,ORD,18h 55m,HND,,,BKK,15:30:00,04-09
Multiple,44:45:00,2,1086.0,EWR,07:45:00,3h 49m,ORD,18h 55m,HND,,,BKK,15:30:00,04-09
Multiple,45:30:00,2,1086.0,LGA,07:00:00,4h 6m,IAD,19h 25m,HND,,,BKK,15:30:00,04-09
Multiple,46:6:00,2,1086.0,EWR,06:24:00,4h 57m,IAD,19h 25m,HND,,,BKK,15:30:00,04-09
Multiple,46:30:00,2,1086.0,EWR,06:00:00,5h 35m,ORD,18h 55m,HND,,,BKK,15:30:00,04-09
Multiple,46:30:00,2,1086.0,LGA,06:00:00,5h 32m,ORD,18h 55m,HND,,,BKK,15:30:00,04-09
Multiple,46:30:00,2,1086.0,LGA,06:00:00,5h 6m,IAD,19h 25m,HND,,,BKK,15:30:00,04-09
Multiple,42:0:00,1,1099.0,EWR,10:30:00,21h 15m,HND,,,,,BKK,15:30:00,04-09
Multiple,42:0:00,1,1099.0,EWR,10:30:00,21h 15m,HND,,,,,BKK,15:30:00,04-09
Multiple,25:5:00,1,1100.0,EWR,11:40:00,4h 30m,NRT,,,,,BKK,23:45:00,04-08
ANA All Nippon,42:0:00,1,1104.0,EWR,10:30:00,21h 15m,HND,,,,,BKK,15:30:00,04-09
Multiple,29:1:00,2,1104.0,EWR,07:44:00,1h 41m,DEN,4h 20m,NRT,,,BKK,23:45:00,04-08
Multiple,29:15:00,2,1104.0,LGA,07:30:00,1h 50m,DEN,4h 20m,NRT,,,BKK,23:45:00,04-08
Multiple,30:15:00,2,1104.0,LGA,06:30:00,2h 50m,DEN,4h 20m,NRT,,,BKK,23:45:00,04-08
Multiple,30:30:00,2,1104.0,EWR,06:15:00,2h 0m,SFO,4h 15m,NRT,,,BKK,23:45:00,04-08
